Ticker,Nazwa,Kwartały,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów
06N,06MAGNA,2013/Q4,"-5,98%","-5,73%",,,,,,"-9,57%"
06N,06MAGNA,2014/Q1,"-29,78%","-28,38%","-1 394,55%","-3 693,25%","-1 394,12%","-2 063,62%","20,26%","-10,72%"
06N,06MAGNA,2014/Q2,"-131,76%","-126,03%","-724,54%","-8 369,61%","-717,55%","-8 057,57%","3,33%","-10,91%"
06N,06MAGNA,2014/Q3,"-17,31%","-16,50%","-356,36%","-652,17%","-389,58%","-424,70%","17,93%","-9,01%"
06N,06MAGNA,2014/Q4,"-38,48%","-34,93%","-154,38%","-778,45%","-157,45%","-807,16%","21,63%","-6,93%"
06N,06MAGNA,2015/Q1,"-13,31%","-12,00%","-95,30%","-137,39%","-85,59%","-152,55%","15,56%","-8,33%"
06N,06MAGNA,2016/Q4,"-116,24%","-94,33%","-141,85%","-860,15%","-141,76%","-870,27%","-15,72%","-15,56%"
06N,06MAGNA,2017/Q1,"-114,81%","-94,23%","-786,00%","-5 321,91%","-812,58%","-5 374,44%","-182,15%","-13,92%"
06N,06MAGNA,2017/Q2,"-109,90%","-93,57%","-311,12%","-2 846,90%","-333,49%","-2 858,72%","-22,71%","-10,23%"
06N,06MAGNA,2017/Q3,"-112,26%","-96,27%","-305,30%","-3 506,42%","-323,99%","-3 554,11%","-0,56%","-8,38%"
06N,06MAGNA,2017/Q4,"6,57%","4,98%","-67,23%","71,02%","-90,00%","63,66%","19,40%","-4,72%"
06N,06MAGNA,2018/Q1,"8,80%","6,66%","-32,52%","57,30%","-49,25%","54,83%","34,15%","-3,78%"
06N,06MAGNA,2018/Q2,"8,18%","6,00%","-31,14%","38,14%","-47,06%","34,27%","41,06%","-4,90%"
06N,06MAGNA,2018/Q3,"8,95%","6,57%","-22,78%","33,66%","-37,79%","30,64%","40,62%","-4,44%"
06N,06MAGNA,2018/Q4,"-24,61%","-16,75%","-20,39%","-74,45%","-29,67%","-91,42%","38,23%","-4,59%"
06N,06MAGNA,2019/Q1,"-25,50%","-17,81%","-18,89%","-79,92%","-24,98%","-97,48%","39,17%","-4,21%"
06N,06MAGNA,2019/Q2,"-19,30%","-13,90%","2,26%","-64,39%","-19,42%","-78,56%","33,26%","0,49%"
06N,06MAGNA,2019/Q3,"-15,67%","-11,28%","15,98%","-55,38%","-25,00%","-63,02%","33,03%","3,25%"
06N,06MAGNA,2019/Q4,"7,71%","5,44%","23,28%","31,20%","-38,17%","42,68%","35,86%","4,06%"
06N,06MAGNA,2020/Q1,"17,52%","13,08%","93,66%","84,59%","-54,23%","116,13%","34,15%","14,49%"
06N,06MAGNA,2020/Q2,"15,71%","11,57%","78,11%","76,65%","-57,36%","99,69%","36,30%","11,79%"
06N,06MAGNA,2020/Q3,"13,94%","10,49%","67,77%","66,90%","-51,80%","87,96%","39,36%","10,62%"
06N,06MAGNA,2020/Q4,"15,30%","11,52%","80,63%","49,19%","-3,83%","86,83%","61,41%","18,88%"
06N,06MAGNA,2021/Q1,"3,11%","2,31%","28,40%","9,71%","-6,00%","35,60%","61,80%","6,75%"
06N,06MAGNA,2021/Q2,"6,41%","4,85%","45,89%","20,56%","-9,81%","59,07%","59,58%","10,83%"
06N,06MAGNA,2021/Q3,"6,74%","5,13%","47,85%","23,71%","-15,59%","59,25%","59,90%","10,36%"
06N,06MAGNA,2021/Q4,"4,21%","3,17%","22,68%","20,06%","-49,00%","38,08%","49,89%","3,58%"
06N,06MAGNA,2022/Q1,"5,25%","4,01%","23,97%","24,17%","-45,46%","39,12%","49,95%","3,98%"
06N,06MAGNA,2022/Q2,"-0,02%","-0,02%","-9,39%","-0,09%","-44,90%","0,19%","59,23%","-1,64%"
06N,06MAGNA,2022/Q3,"-3,44%","-2,55%","-24,46%","-14,30%","-36,82%","-16,46%","66,96%","-4,36%"
06N,06MAGNA,2022/Q4,"-2,33%","-1,75%","-38,75%","-9,31%","-39,72%","-25,38%","79,38%","-7,28%"
06N,06MAGNA,2023/Q1,"-3,74%","-2,76%","-40,16%","-14,20%","-36,20%","-26,12%","71,15%","-7,80%"
06N,06MAGNA,2023/Q2,"74,07%","31,98%","1 356,20%","1 117,83%","-33,66%","1 370,62%","58,25%","38,80%"
06N,06MAGNA,2023/Q3,"74,36%","59,24%","1 258,93%","1 050,71%","-32,94%","1 287,63%","42,49%","70,98%"
06N,06MAGNA,2023/Q4,"73,19%","68,34%","1 144,90%","964,75%","-36,00%","1 188,47%","54,19%","81,11%"
06N,06MAGNA,2024/Q1,"74,82%","65,23%","1 027,68%","869,34%","-40,61%","1 078,47%","56,37%","77,11%"
06N,06MAGNA,2024/Q2,"1,01%","0,88%","-31,87%","8,26%","-34,00%","11,68%","45,08%","-3,40%"
06N,06MAGNA,2024/Q3,"1,69%","1,52%","-17,55%","10,78%","-28,89%","13,16%","41,56%","-2,48%"
06N,06MAGNA,2024/Q4,"3,88%","3,46%","3,73%","19,76%","-24,26%","25,31%","34,11%","0,65%"
06N,06MAGNA,2025/Q1,"0,85%","0,75%","-15,42%","3,87%","-16,05%","1,72%","35,31%","-3,01%"
OCTAVA,08OCTAVA,2004/Q4,"-10,76%","-8,68%","-280,82%","-243,29%","-280,82%","-264,45%",,"-10,02%"
OCTAVA,08OCTAVA,2005/Q4,"-1,74%","-1,33%","-588,16%","-193,08%","-588,16%","-582,88%",,"-4,07%"
OCTAVA,08OCTAVA,2006/Q1,"-0,34%","-0,18%","-7 541,33%","-441,33%","-7 541,33%","-4 857,33%",,"-3,03%"
OCTAVA,08OCTAVA,2006/Q2,"-2,29%","-1,07%","-18 860,00%","-7 366,67%","-18 860,00%","-11 203,33%",,"-2,75%"
OCTAVA,08OCTAVA,2006/Q3,"-4,34%","-1,71%","-4 869,00%","-4 022,00%","-4 869,00%","-4 123,00%",,"-2,07%"
OCTAVA,08OCTAVA,2006/Q4,"0,33%","0,11%","21,74%","4,57%","21,74%","23,59%",,"0,54%"
OCTAVA,08OCTAVA,2007/Q1,"-0,52%","-0,16%","36,37%","-6,73%","36,37%","10,10%",,"0,84%"
OCTAVA,08OCTAVA,2007/Q2,"-1,14%","-0,29%","33,85%","-14,49%","33,85%","1,54%",,"0,68%"
OCTAVA,08OCTAVA,2007/Q3,"59,38%","24,54%","98,97%","50,51%","98,97%","98,77%",,"48,09%"
OCTAVA,08OCTAVA,2007/Q4,"59,38%","23,98%","97,56%","49,58%","97,56%","97,55%",,"47,19%"
OCTAVA,08OCTAVA,2008/Q1,"59,79%","24,63%","97,04%","48,93%","97,04%","96,16%",,"48,85%"
OCTAVA,08OCTAVA,2008/Q2,"63,68%","25,92%","97,29%","48,43%","97,29%","95,49%",,"52,06%"
OCTAVA,08OCTAVA,2008/Q3,"-10,43%","-4,28%","192,95%","121,65%","192,95%","233,80%",,"-6,79%"
OCTAVA,08OCTAVA,2008/Q4,"-6,48%","-2,57%","398,08%","474,32%","398,08%","702,55%",,"-2,16%"
OCTAVA,08OCTAVA,2009/Q1,"-5,60%","-2,21%","1 567,62%","2 154,49%","1 567,62%","3 119,82%",,"-1,61%"
OCTAVA,08OCTAVA,2009/Q2,"-4,22%","-1,51%","-52,00%","-132,34%","-52,00%","-190,37%",,"-0,59%"
OCTAVA,08OCTAVA,2009/Q3,"6,05%","2,09%","90,41%","27,03%","90,41%","67,72%",,"7,01%"
OCTAVA,08OCTAVA,2009/Q4,"-14,67%","-4,77%","118,31%","80,77%","118,31%","152,64%",,"-6,98%"
OCTAVA,08OCTAVA,2010/Q1,"-14,27%","-4,88%","115,56%","79,84%","115,56%","149,68%",,"-7,06%"
OCTAVA,08OCTAVA,2010/Q2,"-16,27%","-5,49%","116,39%","81,29%","116,39%","143,43%",,"-7,86%"
OCTAVA,08OCTAVA,2010/Q3,"-16,52%","-5,66%","115,71%","78,94%","115,71%","140,34%",,"-8,29%"
OCTAVA,08OCTAVA,2010/Q4,"1,99%","0,69%","75,20%","12,47%","75,20%","37,85%",,"4,17%"
OCTAVA,08OCTAVA,2011/Q1,"1,31%","0,45%","71,90%","9,23%","71,90%","31,75%",,"3,53%"
OCTAVA,08OCTAVA,2011/Q2,"3,79%","1,35%","80,81%","23,77%","80,81%","45,74%",,"4,57%"
OCTAVA,08OCTAVA,2011/Q3,"16,55%","16,00%","86,35%","57,45%","86,35%","64,21%",,"24,05%"
OCTAVA,08OCTAVA,2011/Q4,"70,32%","67,24%","98,97%","98,06%","98,97%","98,94%",,"67,86%"
OCTAVA,08OCTAVA,2012/Q1,"70,11%","67,63%","99,31%","100,24%","99,25%","100,55%",,"67,00%"
OCTAVA,08OCTAVA,2012/Q2,"92,29%","89,86%","99,63%","102,71%","99,71%","102,11%",,"87,16%"
OCTAVA,08OCTAVA,2012/Q3,"442,68%","394,97%","103,04%","111,90%","103,14%","111,51%",,"363,71%"
OCTAVA,08OCTAVA,2012/Q4,"31,02%","28,10%","80,99%","71,93%","81,35%","80,12%",,"31,64%"
OCTAVA,08OCTAVA,2013/Q1,"23,71%","21,69%","78,11%","72,51%","80,53%","76,97%",,"23,37%"
OCTAVA,08OCTAVA,2013/Q2,"18,84%","17,22%","80,52%","75,59%","78,74%","80,25%",,"18,34%"
OCTAVA,08OCTAVA,2013/Q3,"2,01%","1,81%","32,84%","28,29%","29,24%","30,10%",,"2,10%"
OCTAVA,08OCTAVA,2013/Q4,"-11,58%","-10,37%","-47,24%","-44,70%","-50,55%","-44,85%",,"-10,96%"
OCTAVA,08OCTAVA,2014/Q1,"-12,66%","-10,69%","-51,84%","-49,21%","-56,91%","-49,29%",,"-11,26%"
OCTAVA,08OCTAVA,2014/Q2,"-14,13%","-11,28%","-60,06%","-58,17%","-63,67%","-58,15%",,"-11,65%"
OCTAVA,08OCTAVA,2014/Q3,"-14,29%","-11,14%","-59,91%","-57,75%","-64,31%","-57,11%",,"-11,56%"
OCTAVA,08OCTAVA,2014/Q4,"2,53%","2,09%","50,23%","24,79%","46,86%","48,23%",,"4,23%"
OCTAVA,08OCTAVA,2015/Q1,"3,11%","2,44%","58,57%","31,38%","54,07%","55,48%",,"4,55%"
OCTAVA,08OCTAVA,2015/Q2,"3,16%","2,45%","63,01%","36,01%","58,41%","60,34%",,"4,29%"
OCTAVA,08OCTAVA,2015/Q3,"4,88%","4,09%","38,55%","24,12%","36,34%","37,78%",,"6,53%"
OCTAVA,08OCTAVA,2015/Q4,"4,66%","4,42%","18,45%","14,96%","16,80%","18,85%",,"5,45%"
OCTAVA,08OCTAVA,2016/Q1,"4,76%","4,54%","18,74%","15,33%","17,23%","19,47%",,"5,55%"
OCTAVA,08OCTAVA,2016/Q2,"5,44%","4,51%","18,92%","17,14%","17,35%","21,74%",,"4,97%"
OCTAVA,08OCTAVA,2016/Q3,"4,32%","3,54%","19,40%","23,45%","16,98%","29,02%",,"2,93%"
OCTAVA,08OCTAVA,2016/Q4,"3,99%","3,26%","65,76%","58,54%","47,77%","50,55%",,"3,67%"
OCTAVA,08OCTAVA,2017/Q1,"3,85%","3,12%","73,50%","46,98%","56,65%","39,22%",,"4,88%"
OCTAVA,08OCTAVA,2017/Q2,"4,53%","3,64%","86,78%","46,03%","72,11%","42,03%",,"6,86%"
OCTAVA,08OCTAVA,2017/Q3,"4,96%","3,96%","84,24%","40,08%","72,48%","37,04%",,"8,32%"
OCTAVA,08OCTAVA,2017/Q4,"0,25%","0,20%","89,57%","2,53%","70,88%","17,73%",,"6,94%"
OCTAVA,08OCTAVA,2018/Q1,"2,24%","1,77%","89,25%","22,67%","71,78%","31,39%",,"6,97%"
OCTAVA,08OCTAVA,2018/Q2,"2,79%","2,23%","87,67%","28,32%","67,87%","35,66%",,"6,91%"
OCTAVA,08OCTAVA,2018/Q3,"2,16%","1,73%","86,37%","22,67%","60,44%","29,59%",,"6,57%"
OCTAVA,08OCTAVA,2018/Q4,"0,34%","0,29%","-89,07%","5,74%","-127,89%","-10,96%",,"-4,49%"
OCTAVA,08OCTAVA,2019/Q1,"-0,54%","-0,45%","-92,74%","-9,36%","-144,90%","-10,87%",,"-4,50%"
OCTAVA,08OCTAVA,2019/Q2,"-7,46%","-6,17%","309,11%","139,43%","379,11%","163,42%",,"-13,68%"
OCTAVA,08OCTAVA,2019/Q3,"-8,51%","-6,91%","242,89%","110,84%","295,51%","133,29%",,"-15,14%"
OCTAVA,08OCTAVA,2019/Q4,"4,22%","3,37%","138,21%","-88,05%","219,71%","105,24%",,"-5,29%"
OCTAVA,08OCTAVA,2020/Q1,"6,29%","5,07%","149,48%","-203,68%","266,93%","94,88%",,"-3,72%"
OCTAVA,08OCTAVA,2020/Q2,"8,03%","6,30%","-52,54%","711,55%","-357,18%","-41,55%",,"-0,47%"
OCTAVA,08OCTAVA,2020/Q3,"7,58%","5,72%","-124,78%","687,46%","-409,18%","-46,65%",,"-1,04%"
OCTAVA,08OCTAVA,2020/Q4,"-3,75%","-2,63%","-2 581,03%","-3 875,86%","-6 677,59%","-1 751,72%",,"-1,75%"
OCTAVA,08OCTAVA,2021/Q1,"-7,56%","-5,25%","181,83%","217,54%","280,14%","162,02%",,"-4,39%"
OCTAVA,08OCTAVA,2021/Q2,"-5,75%","-3,94%","359,01%","490,12%","624,13%","394,04%",,"-2,89%"
OCTAVA,08OCTAVA,2021/Q3,"-5,05%","-3,50%","278,63%","420,23%","535,47%","356,13%",,"-2,32%"
OCTAVA,08OCTAVA,2021/Q4,"-3,31%","-2,27%","-179,89%","-215,39%","-241,57%","-296,85%",,"-1,90%"
OCTAVA,08OCTAVA,2022/Q1,"-3,69%","-2,52%","-330,97%","-396,27%","-451,49%","-544,59%",,"-2,10%"
OCTAVA,08OCTAVA,2022/Q2,"-2,08%","-1,44%","-8,02%","-58,71%","-38,36%","-79,61%",,"-0,20%"
OCTAVA,08OCTAVA,2022/Q3,"-2,26%","-1,57%","-13,40%","-64,15%","-41,65%","-83,91%",,"-0,33%"
OCTAVA,08OCTAVA,2022/Q4,"-9,28%","-6,20%","-238,26%","-425,89%","-326,78%","-317,53%",,"-3,47%"
OCTAVA,08OCTAVA,2023/Q1,"-8,20%","-5,52%","-206,18%","-315,56%","-272,52%","-243,41%",,"-3,61%"
OCTAVA,08OCTAVA,2023/Q2,"-9,51%","-6,38%","-289,11%","-407,59%","-333,08%","-310,04%",,"-4,53%"
OCTAVA,08OCTAVA,2023/Q3,"-9,12%","-6,18%","-226,05%","-306,45%","-243,03%","-230,20%",,"-4,56%"
OCTAVA,08OCTAVA,2023/Q4,"6,68%","4,58%","397,02%","308,02%","-135,32%","371,88%",,"5,90%"
OCTAVA,08OCTAVA,2024/Q1,"-6,34%","-4,13%","-23,16%","-257,40%","-144,33%","-148,06%",,"-0,37%"
OCTAVA,08OCTAVA,2024/Q2,"-8,52%","-5,44%","-105,50%","-326,21%","-143,20%","-220,39%",,"-1,76%"
OCTAVA,08OCTAVA,2024/Q3,"-12,66%","-7,77%","-237,25%","-468,87%","-141,56%","-374,82%",,"-3,93%"
OCTAVA,08OCTAVA,2024/Q4,"-32,69%","-19,84%","-1 042,42%","-1 125,23%","-365,11%","-1 189,35%",,"-18,38%"
OCTAVA,08OCTAVA,2025/Q1,"-25,36%","-14,33%","-817,55%","-795,43%","-376,44%","-879,81%",,"-14,73%"
11-BIT-STUDIOS,11BIT,2009/Q4,,,,,,,,
11-BIT-STUDIOS,11BIT,2010/Q4,"-18,22%","-17,09%","-59,92%","-48,73%","-59,92%","-60,13%",,"-21,01%"
11-BIT-STUDIOS,11BIT,2011/Q3,"30,73%","29,58%","33,09%","28,39%","33,05%","34,26%",,"34,49%"
11-BIT-STUDIOS,11BIT,2011/Q4,"50,49%","43,30%","47,76%","42,32%","47,79%","51,88%",,"48,86%"
11-BIT-STUDIOS,11BIT,2012/Q1,"53,15%","49,87%","50,36%","44,64%","50,39%","53,14%",,"56,26%"
11-BIT-STUDIOS,11BIT,2012/Q2,"40,88%","38,36%","42,96%","37,69%","42,99%","46,20%",,"43,73%"
11-BIT-STUDIOS,11BIT,2012/Q3,"17,21%","16,45%","32,87%","29,10%","33,40%","35,60%",,"18,58%"
11-BIT-STUDIOS,11BIT,2012/Q4,"19,45%","18,33%","37,43%","28,05%","37,29%","35,14%",,"24,47%"
11-BIT-STUDIOS,11BIT,2013/Q1,"14,53%","13,67%","29,17%","20,97%","29,03%","27,37%",,"19,01%"
11-BIT-STUDIOS,11BIT,2013/Q2,"19,08%","18,02%","31,60%","24,17%","31,31%","30,30%",,"23,56%"
11-BIT-STUDIOS,11BIT,2013/Q3,"12,61%","11,86%","21,89%","16,33%","21,26%","20,65%",,"15,90%"
11-BIT-STUDIOS,11BIT,2013/Q4,"12,72%","11,57%","24,42%","17,66%","23,70%","22,49%",,"16,00%"
11-BIT-STUDIOS,11BIT,2014/Q1,"5,70%","5,21%","14,97%","7,91%","13,41%","12,68%",,"9,87%"
11-BIT-STUDIOS,11BIT,2014/Q2,"-13,19%","-11,76%","-11,46%","-16,89%","-13,65%","-14,12%",,"-7,98%"
11-BIT-STUDIOS,11BIT,2014/Q3,"-3,98%","-3,45%","1,98%","-4,86%","0,47%","-0,14%",,"1,40%"
11-BIT-STUDIOS,11BIT,2014/Q4,"54,31%","42,93%","63,61%","52,24%","64,56%","64,64%",,"52,27%"
11-BIT-STUDIOS,11BIT,2015/Q1,"64,98%","50,48%","70,45%","59,27%","71,27%","72,33%",,"60,00%"
11-BIT-STUDIOS,11BIT,2015/Q2,"68,99%","65,80%","77,01%","64,43%","79,97%","78,90%",,"78,65%"
11-BIT-STUDIOS,11BIT,2015/Q3,"75,16%","69,81%","77,07%","65,32%","78,75%","79,03%",,"82,36%"
11-BIT-STUDIOS,11BIT,2015/Q4,"40,33%","35,24%","59,40%","49,92%","62,29%","63,36%",,"41,93%"
11-BIT-STUDIOS,11BIT,2016/Q1,"35,90%","32,50%","60,88%","50,19%","62,53%","63,81%",,"39,42%"
11-BIT-STUDIOS,11BIT,2016/Q2,"28,82%","26,85%","53,20%","44,97%","53,73%","58,03%",,"31,76%"
11-BIT-STUDIOS,11BIT,2016/Q3,"26,05%","24,39%","49,36%","38,25%","51,20%","51,12%",,"31,48%"
11-BIT-STUDIOS,11BIT,2016/Q4,"30,69%","28,32%","52,32%","47,86%","55,67%","58,22%",,"30,96%"
11-BIT-STUDIOS,11BIT,2017/Q1,"17,75%","16,95%","39,29%","32,00%","45,00%","40,77%",,"20,81%"
11-BIT-STUDIOS,11BIT,2017/Q2,"16,75%","16,02%","41,49%","30,79%","48,14%","36,31%",,"21,58%"
11-BIT-STUDIOS,11BIT,2017/Q3,"11,96%","11,36%","32,55%","24,12%","42,58%","27,74%",,"15,33%"
11-BIT-STUDIOS,11BIT,2017/Q4,"7,70%","7,31%","39,22%","18,54%","46,85%","23,61%",,"15,47%"
11-BIT-STUDIOS,11BIT,2018/Q1,"8,03%","7,75%","34,32%","19,61%","45,12%","24,14%",,"13,57%"
11-BIT-STUDIOS,11BIT,2018/Q2,"38,26%","34,10%","61,88%","49,93%","64,14%","62,96%",,"42,26%"
11-BIT-STUDIOS,11BIT,2018/Q3,"41,22%","37,49%","60,11%","48,23%","61,13%","61,29%",,"46,72%"
11-BIT-STUDIOS,11BIT,2018/Q4,"41,76%","34,37%","57,18%","45,73%","57,98%","58,59%",,"42,97%"
11-BIT-STUDIOS,11BIT,2019/Q1,"44,57%","37,21%","56,87%","45,68%","56,96%","58,47%",,"46,33%"
11-BIT-STUDIOS,11BIT,2019/Q2,"18,97%","15,04%","37,91%","28,37%","38,98%","38,14%",,"20,10%"
11-BIT-STUDIOS,11BIT,2019/Q3,"17,96%","13,73%","34,74%","26,49%","35,76%","35,64%",,"18,01%"
11-BIT-STUDIOS,11BIT,2019/Q4,"18,13%","13,95%","33,52%","30,48%","35,56%","35,14%",,"15,33%"
11-BIT-STUDIOS,11BIT,2020/Q1,"23,32%","18,56%","40,39%","36,29%","42,32%","42,16%",,"20,65%"
11-BIT-STUDIOS,11BIT,2020/Q2,"27,85%","22,85%","45,85%","44,46%","48,16%","47,15%",,"23,57%"
11-BIT-STUDIOS,11BIT,2020/Q3,"27,51%","23,35%","50,83%","48,70%","53,08%","51,23%",,"24,37%"
11-BIT-STUDIOS,11BIT,2020/Q4,"22,69%","20,05%","46,83%","42,90%","49,90%","46,67%",,"21,89%"
11-BIT-STUDIOS,11BIT,2021/Q1,"15,60%","13,72%","37,80%","36,99%","41,56%","37,93%",,"14,02%"
11-BIT-STUDIOS,11BIT,2021/Q2,"14,24%","12,75%","39,76%","35,29%","42,95%","39,84%",,"14,37%"
11-BIT-STUDIOS,11BIT,2021/Q3,"12,21%","11,06%","35,37%","33,23%","39,18%","37,27%",,"11,77%"
11-BIT-STUDIOS,11BIT,2021/Q4,"14,54%","13,07%","42,83%","40,91%","45,06%","45,40%",,"13,68%"
11-BIT-STUDIOS,11BIT,2022/Q1,"14,30%","12,75%","41,54%","39,57%","48,36%","45,05%",,"13,39%"
11-BIT-STUDIOS,11BIT,2022/Q2,"14,15%","12,56%","36,14%","38,02%","41,99%","43,24%",,"11,94%"
11-BIT-STUDIOS,11BIT,2022/Q3,"14,15%","12,71%","34,29%","38,82%","40,48%","44,06%",,"11,23%"
11-BIT-STUDIOS,11BIT,2022/Q4,"10,19%","9,37%","26,93%","30,85%","34,00%","36,69%",,"8,18%"
11-BIT-STUDIOS,11BIT,2023/Q1,"9,47%","8,70%","25,44%","30,30%","28,05%","34,72%",,"7,30%"
11-BIT-STUDIOS,11BIT,2023/Q2,"5,06%","4,44%","13,52%","22,21%","18,24%","26,66%",,"2,70%"
11-BIT-STUDIOS,11BIT,2023/Q3,"1,85%","1,62%","4,73%","8,74%","10,52%","11,37%",,"0,88%"
11-BIT-STUDIOS,11BIT,2023/Q4,"0,23%","0,20%","14,52%","1,01%","19,20%","-0,56%",,"2,94%"
11-BIT-STUDIOS,11BIT,2024/Q1,"-1,56%","-1,34%","8,85%","-6,71%","14,24%","-8,11%",,"1,76%"
11-BIT-STUDIOS,11BIT,2024/Q2,"-1,72%","-1,43%","2,77%","-6,80%","7,60%","-8,46%",,"0,58%"
11-BIT-STUDIOS,11BIT,2024/Q3,"16,84%","14,62%","50,02%","37,48%","52,33%","41,53%",,"19,51%"
11-BIT-STUDIOS,11BIT,2024/Q4,"3,00%","2,63%","-2,02%","4,90%","47,81%","1,98%",,"-1,08%"
11-BIT-STUDIOS,11BIT,2025/Q1,"0,95%","0,83%","-2,93%","1,49%","45,09%","-1,47%",,"-1,64%"
ATAL,ATAL,2011/Q4,"9,72%","4,87%","21,72%","14,26%","24,05%","17,07%","28,40%","7,42%"
ATAL,ATAL,2012/Q4,"11,17%","5,20%","22,10%","17,13%","20,97%","21,49%","27,18%","6,71%"
ATAL,ATAL,2013/Q4,"11,09%","4,37%","17,87%","14,19%","16,38%","16,19%","22,45%","5,50%"
ATAL,ATAL,2014/Q4,"30,84%","17,11%","28,96%","23,34%","29,10%","28,44%","32,28%","21,23%"
ATAL,ATAL,2015/Q2,"17,91%","10,48%","26,91%","21,42%","26,53%","26,02%","32,11%","13,17%"
ATAL,ATAL,2015/Q3,"6,32%","3,43%","19,57%","14,88%","19,50%","17,94%","27,16%","4,52%"
ATAL,ATAL,2015/Q4,"7,59%","3,91%","17,97%","20,85%","18,19%","16,13%","27,68%","3,37%"
